Comment,Designator,Footprint,LCSC,Quantity
Photoresistor,R108,Photoresistor,C10077,1
20,"R100,R101,R103,R104,R110,R111,R113,R114,R117,R118,R12,R120,R121,R123,R124,R126,R127,R129,R13,R130,R132,R133,R135,R136,R138,R139,R145,R146,R147,R148,R149,R15,R150,R151,R152,R153,R154,R155,R156,R157,R158,R159,R16,R160,R161,R162,R163,R164,R165,R166,R167,R168,R169,R170,R171,R172,R173,R174,R175,R176,R177,R178,R179,R180,R181,R182,R183,R184,R185,R186,R187,R188,R22,R23,R25,R26,R29,R30,R32,R33,R35,R36,R38,R39,R41,R42,R44,R45,R47,R48,R50,R51,R53,R54,R56,R57,R59,R60,R66,R67,R69,R70,R73,R74,R76,R77,R79,R80,R82,R83,R85,R86,R88,R89,R91,R92,R94,R95,R97,R98",R_0402_1005Metric,C137901,120
10uF,"C1,C2",C_0402_1005Metric,C15525,2
0R,R2,R_0402_1005Metric,C17168,1
Schottky,"D1,D4",D_SMA,C17888,2
3A,"F1,F2",Fuse_1206_3216Metric,C19078717,2
150,R10,R_0603_1608Metric,C22808,1
820,R137,R_0603_1608Metric,C23253,1
10k,"R140,R65",R_0402_1005Metric,C25744,2
10k,"R115,R27,R71",R_0603_1608Metric,C25804,3
4.7k,"R106,R107,R18,R19,R62,R63",R_0402_1005Metric,C25900,6
5.1k,"R5,R6",R_0402_1005Metric,C25905,2
IS31FL3741A,"U12,U5,U6,U7",QFN40P700X700X80-61N,C2940604,4
0.1uF,"C12,C14,C16,C18,C20,C22,C24,C27,C28,C31,C5,C9",C_0402_1005Metric,C307331,12
SW_Push,"SW1,SW2,SW3",SW_SPST_SKQG_WithoutStem,C318884,3
51,"R102,R105,R109,R11,R112,R116,R119,R122,R125,R128,R131,R134,R14,R17,R24,R28,R31,R34,R37,R40,R43,R46,R49,R52,R55,R58,R61,R68,R72,R75,R78,R81,R84,R87,R90,R93,R96,R99",R_0402_1005Metric,C325571,38
LED,"D2,D3",LED_0805_2012Metric,C34499,2
2k,"R20,R21,R64",R_0402_1005Metric,C4109,3
22uF,C3,C_0603_1608Metric,C45783,1
1uF,"C11,C13,C15,C17,C19,C21,C25,C26,C29",C_0402_1005Metric,C52923,9
USB C,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C5362630,1
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186,1
USBLC6-2SC6,U3,SOT-23-6,C7519,1
