Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402_1005Metric,55.626,-181.483,-90.0,top
C11,1uF,C_0402_1005Metric,103.251,-108.712,0.0,top
C12,0.1uF,C_0402_1005Metric,103.251,-107.696,0.0,top
C13,1uF,C_0402_1005Metric,95.25,-106.553,-90.0,top
C14,0.1uF,C_0402_1005Metric,96.393,-106.553,-90.0,top
C15,1uF,C_0402_1005Metric,245.491,-151.892,0.0,top
C16,0.1uF,C_0402_1005Metric,245.491,-150.876,0.0,top
C17,1uF,C_0402_1005Metric,237.49,-150.368,-90.0,top
C18,0.1uF,C_0402_1005Metric,238.633,-150.368,-90.0,top
C19,1uF,C_0402_1005Metric,334.645,-24.384,180.0,top
C2,10uF,C_0402_1005Metric,9.779,-187.607,90.0,top
C20,0.1uF,C_0402_1005Metric,334.645,-25.4,180.0,top
C21,1uF,C_0402_1005Metric,342.646,-26.543,90.0,top
C22,0.1uF,C_0402_1005Metric,341.503,-26.543,90.0,top
C24,0.1uF,C_0402_1005Metric,56.973,-179.473,180.0,top
C25,1uF,C_0402_1005Metric,193.913,-10.603,180.0,top
C26,1uF,C_0402_1005Metric,193.893,-11.673,180.0,top
C27,0.1uF,C_0402_1005Metric,202.273,-15.073,90.0,top
C28,0.1uF,C_0402_1005Metric,201.273,-15.073,90.0,top
C29,1uF,C_0402_1005Metric,33.909,-172.847,90.0,top
C3,22uF,C_0603_1608Metric,15.113,-181.229,180.0,top
C31,0.1uF,C_0402_1005Metric,56.896,-181.483,-90.0,top
C5,0.1uF,C_0402_1005Metric,8.89,-175.133,0.0,top
C9,0.1uF,C_0402_1005Metric,32.766,-172.847,-90.0,top
D1,RBR3MM40ATR,DIO_RB051MM_ROM,4.191,-185.293,0.0,top
D2,LED,LED_0805_2012Metric,5.969,-168.783,0.0,top
D3,LED,LED_0805_2012Metric,5.969,-166.243,0.0,top
D4,RBR3MM40ATR,DIO_RB051MM_ROM,57.873,-160.073,180.0,top
F1,3A,Fuse_1206_3216Metric,9.144,-182.372,-90.0,top
F2,3A,Fuse_1206_3216Metric,57.873,-163.373,180.0,top
J2,USB C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,3.873,-177.673,-90.0,top
LED1,LED_ARGB,LED_RGB_0606,4.9022,-26.8986,0.0,top
LED10,LED_ARGB,LED_RGB_0606,39.5986,-29.845,0.0,top
LED100,LED_ARGB,LED_RGB_0606,197.7898,-86.3854,0.0,top
LED101,LED_ARGB,LED_RGB_0606,200.9902,-88.7222,0.0,top
LED102,LED_ARGB,LED_RGB_0606,204.6986,-90.3478,0.0,top
LED103,LED_ARGB,LED_RGB_0606,208.6102,-90.6018,0.0,top
LED104,LED_ARGB,LED_RGB_0606,212.6234,-91.059,0.0,top
LED105,LED_ARGB,LED_RGB_0606,216.3826,-91.9734,0.0,top
LED106,LED_ARGB,LED_RGB_0606,220.0402,-91.821,0.0,top
LED107,LED_ARGB,LED_RGB_0606,223.1898,-89.6874,0.0,top
LED108,LED_ARGB,LED_RGB_0606,227.1522,-90.043,0.0,top
LED109,LED_ARGB,LED_RGB_0606,197.5358,-114.681,0.0,top
LED11,LED_ARGB,LED_RGB_0606,43.0022,-31.369,0.0,top
LED110,LED_ARGB,LED_RGB_0606,200.533,-117.1194,0.0,top
LED111,LED_ARGB,LED_RGB_0606,204.1906,-116.4082,0.0,top
LED112,LED_ARGB,LED_RGB_0606,207.8482,-115.6462,0.0,top
LED113,LED_ARGB,LED_RGB_0606,211.8106,-115.0874,0.0,top
LED114,LED_ARGB,LED_RGB_0606,215.519,-113.9698,0.0,top
LED115,LED_ARGB,LED_RGB_0606,219.5322,-113.7666,0.0,top
LED116,LED_ARGB,LED_RGB_0606,223.4438,-113.665,0.0,top
