Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402_1005Metric",55.753000,-181.610000,-90.000000,top
"C2","10uF","C_0402_1005Metric",9.906000,-187.734000,90.000000,top
"C3","22uF","C_0603_1608Metric",15.240000,-181.356000,180.000000,top
"C5","0.1uF","C_0402_1005Metric",9.017000,-175.260000,0.000000,top
"C9","0.1uF","C_0402_1005Metric",32.893000,-172.974000,-90.000000,top
"C11","1uF","C_0402_1005Metric",103.378000,-108.839000,0.000000,top
"C12","0.1uF","C_0402_1005Metric",103.378000,-107.823000,0.000000,top
"C13","1uF","C_0402_1005Metric",95.377000,-106.680000,-90.000000,top
"C14","0.1uF","C_0402_1005Metric",96.520000,-106.680000,-90.000000,top
"C15","1uF","C_0402_1005Metric",245.618000,-152.019000,0.000000,top
"C16","0.1uF","C_0402_1005Metric",245.618000,-151.003000,0.000000,top
"C17","1uF","C_0402_1005Metric",237.617000,-150.495000,-90.000000,top
"C18","0.1uF","C_0402_1005Metric",238.760000,-150.495000,-90.000000,top
"C19","1uF","C_0402_1005Metric",334.772000,-24.511000,180.000000,top
"C20","0.1uF","C_0402_1005Metric",334.772000,-25.527000,180.000000,top
"C21","1uF","C_0402_1005Metric",342.773000,-26.670000,90.000000,top
"C22","0.1uF","C_0402_1005Metric",341.630000,-26.670000,90.000000,top
"C24","0.1uF","C_0402_1005Metric",57.100000,-179.600000,180.000000,top
"C25","1uF","C_0402_1005Metric",194.040000,-10.730000,180.000000,top
"C26","1uF","C_0402_1005Metric",194.020000,-11.800000,180.000000,top
"C27","0.1uF","C_0402_1005Metric",202.400000,-15.200000,90.000000,top
"C28","0.1uF","C_0402_1005Metric",201.400000,-15.200000,90.000000,top
"C29","1uF","C_0402_1005Metric",34.036000,-172.974000,90.000000,top
"C31","0.1uF","C_0402_1005Metric",57.023000,-181.610000,-90.000000,top
"D1","RBR3MM40ATR","DIO_RB051MM_ROM",4.318000,-185.420000,0.000000,top
"D2","LED","LED_0805_2012Metric",6.096000,-168.910000,0.000000,top
"D3","LED","LED_0805_2012Metric",6.096000,-166.370000,0.000000,top
"D4","RBR3MM40ATR","DIO_RB051MM_ROM",58.000000,-160.200000,180.000000,top
"F1","3A","Fuse_1206_3216Metric",9.271000,-182.499000,-90.000000,top
"F2","3A","Fuse_1206_3216Metric",58.000000,-163.500000,180.000000,top
"J2","USB C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",2.540000,-177.800000,-90.000000,top
"LED1","LED_ARGB","LED_RGB_0606",5.029200,-27.025600,0.000000,top
"LED2","LED_ARGB","LED_RGB_0606",8.178800,-29.413200,0.000000,top
"LED3","LED_ARGB","LED_RGB_0606",12.192000,-30.530800,0.000000,top
"LED4","LED_ARGB","LED_RGB_0606",15.900400,-31.699200,0.000000,top
"LED5","LED_ARGB","LED_RGB_0606",19.862800,-31.750000,0.000000,top
"LED6","LED_ARGB","LED_RGB_0606",23.774400,-31.038800,0.000000,top
"LED7","LED_ARGB","LED_RGB_0606",27.787600,-30.429200,0.000000,top
"LED8","LED_ARGB","LED_RGB_0606",31.750000,-30.022800,0.000000,top
"LED9","LED_ARGB","LED_RGB_0606",35.712400,-29.819600,0.000000,top
"LED10","LED_ARGB","LED_RGB_0606",39.725600,-29.972000,0.000000,top
"LED11","LED_ARGB","LED_RGB_0606",43.129200,-31.496000,0.000000,top
"LED12","LED_ARGB","LED_RGB_0606",46.583600,-32.918400,0.000000,top
"LED13","LED_ARGB","LED_RGB_0606",50.038000,-35.052000,0.000000,top
"LED14","LED_ARGB","LED_RGB_0606",53.187600,-34.696400,0.000000,top
"LED15","LED_ARGB","LED_RGB_0606",57.150000,-34.086800,0.000000,top
"LED16","LED_ARGB","LED_RGB_0606",60.909200,-34.391600,0.000000,top
"LED17","LED_ARGB","LED_RGB_0606",64.820800,-34.086800,0.000000,top
"LED18","LED_ARGB","LED_RGB_0606",68.783200,-34.290000,0.000000,top
"LED19","LED_ARGB","LED_RGB_0606",72.491600,-35.153600,0.000000,top
"LED20","LED_ARGB","LED_RGB_0606",76.200000,-36.017200,0.000000,top
"LED21","LED_ARGB","LED_RGB_0606",79.654400,-37.541200,0.000000,top
"LED22","LED_ARGB","LED_RGB_0606",83.362800,-38.963600,0.000000,top
"LED23","LED_ARGB","LED_RGB_0606",86.512400,-41.198800,0.000000,top
"LED24","LED_ARGB","LED_RGB_0606",89.408000,-43.535600,0.000000,top
"LED25","LED_ARGB","LED_RGB_0606",93.167200,-44.704000,0.000000,top
"LED26","LED_ARGB","LED_RGB_0606",95.808800,-47.548800,0.000000,top
"LED27","LED_ARGB","LED_RGB_0606",98.704400,-49.580800,0.000000,top
"LED28","LED_ARGB","LED_RGB_0606",101.600000,-52.070000,0.000000,top
"LED29","LED_ARGB","LED_RGB_0606",104.495600,-55.016400,0.000000,top
"LED30","LED_ARGB","LED_RGB_0606",108.254800,-55.524400,0.000000,top
"LED31","LED_ARGB","LED_RGB_0606",111.150400,-58.064400,0.000000,top
"LED32","LED_ARGB","LED_RGB_0606",113.741200,-61.163200,0.000000,top
"LED33","LED_ARGB","LED_RGB_0606",117.195600,-62.992000,0.000000,top
"LED34","LED_ARGB","LED_RGB_0606",120.954800,-63.957200,0.000000,top
"LED35","LED_ARGB","LED_RGB_0606",124.358400,-65.735200,0.000000,top
"LED36","LED_ARGB","LED_RGB_0606",127.812800,-67.564000,0.000000,top
"LED37","LED_ARGB","LED_RGB_0606",131.400000,-66.903600,0.000000,top
"LED38","LED_ARGB","LED_RGB_0606",134.670800,-68.884800,0.000000,top
"LED39","LED_ARGB","LED_RGB_0606",138.125200,-70.866000,0.000000,top
"LED40","LED_ARGB","LED_RGB_0606",141.274800,-73.253600,0.000000,top
"LED41","LED_ARGB","LED_RGB_0606",144.729200,-74.879200,0.000000,top
"LED42","LED_ARGB","LED_RGB_0606",148.742400,-75.184000,0.000000,top
"LED43","LED_ARGB","LED_RGB_0606",152.704800,-75.285600,0.000000,top
"LED44","LED_ARGB","LED_RGB_0606",156.616400,-75.590400,0.000000,top
"LED45","LED_ARGB","LED_RGB_0606",160.629600,-75.996800,0.000000,top
"LED46","LED_ARGB","LED_RGB_0606",139.000000,-64.100000,0.000000,top
"LED47","LED_ARGB","LED_RGB_0606",146.862800,-63.804800,0.000000,top
"LED48","LED_ARGB","LED_RGB_0606",149.961600,-66.344800,0.000000,top
"LED49","LED_ARGB","LED_RGB_0606",153.162000,-67.411600,0.000000,top
"LED50","LED_ARGB","LED_RGB_0606",156.921200,-66.598800,0.000000,top
"LED51","LED_ARGB","LED_RGB_0606",160.883600,-66.649600,0.000000,top
"LED52","LED_ARGB","LED_RGB_0606",164.846000,-66.598800,0.000000,top
"LED53","LED_ARGB","LED_RGB_0606",168.808400,-66.598800,0.000000,top
"LED54","LED_ARGB","LED_RGB_0606",172.770800,-66.548000,0.000000,top
"LED55","LED_ARGB","LED_RGB_0606",146.456400,-77.927200,0.000000,top
"LED56","LED_ARGB","LED_RGB_0606",146.507200,-81.737200,0.000000,top
"LED57","LED_ARGB","LED_RGB_0606",146.507200,-85.699600,0.000000,top
"LED58","LED_ARGB","LED_RGB_0606",148.742400,-88.646000,0.000000,top
"LED59","LED_ARGB","LED_RGB_0606",151.942800,-91.033600,0.000000,top
"LED60","LED_ARGB","LED_RGB_0606",154.279600,-94.183200,0.000000,top
"LED61","LED_ARGB","LED_RGB_0606",156.514800,-97.485200,0.000000,top
"LED62","LED_ARGB","LED_RGB_0606",157.835600,-100.939600,0.000000,top
"LED63","LED_ARGB","LED_RGB_0606",160.883600,-103.276400,0.000000,top
"LED64","LED_ARGB","LED_RGB_0606",176.733200,-65.836800,0.000000,top
"LED65","LED_ARGB","LED_RGB_0606",180.746400,-65.074800,0.000000,top
